assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoformpanther_family	date	annotation_extension_class	taxon
BHF-UCL	MGI:MGI:88293	Cacna1d	MGI:MGI:3771286|PMID:17110593		GO:1901016	regulation of potassium ion transmembrane transporter activity	IMP			20120731	CL:0000746	NCBITaxon:10090
MGI	MGI:MGI:88285	Cbs	PMID:15030387		GO:0043506	regulation of JUN kinase activity	IMP	MGI:MGI:1857139		20071130		NCBITaxon:10090
ParkinsonsUK-UCL	MGI:MGI:88276	Ctnnb1	MGI:MGI:5700307|PMID:15905404		GO:0051091	positive regulation of DNA-binding transcription factor activity	IDA			20151117	UniProtKB:Q9WVH3	NCBITaxon:10090
BHF-UCL	MGI:MGI:88276	Ctnnb1	MGI:MGI:5428344|PMID:22723415		GO:0051973	positive regulation of telomerase activity	IMP			20210113	CL:0002322	NCBITaxon:10090
ParkinsonsUK-UCL	MGI:MGI:98958	Wnt5a	MGI:MGI:5466648|PMID:23109420		GO:0032092	positive regulation of protein binding	IDA			20170410	UniProtKB:Q13009|GO:0016055|CL:0000700|UniProtKB:Q92997|GO:0016055|CL:0000700	NCBITaxon:10090
ParkinsonsUK-UCL	MGI:MGI:98958	Wnt5a	MGI:MGI:5466648|PMID:23109420		GO:0043547	positive regulation of GTPase activity	IDA			20151208	UniProtKB:P63001|CL:0000700	NCBITaxon:10090
ParkinsonsUK-UCL	MGI:MGI:98958	Wnt5a	MGI:MGI:3707948|PMID:17244647		GO:0045860	positive regulation of protein kinase activity	IDA			20151203	UniProtKB:Q9JMK2|CL:0000700	NCBITaxon:10090
ParkinsonsUK-UCL	MGI:MGI:98958	Wnt5a	MGI:MGI:3829860|PMID:18953410		GO:0090630	activation of GTPase activity	IDA			20151126	UniProtKB:P63001|GO:0071542	NCBITaxon:10090
MGI	MGI:MGI:98958	Wnt5a	PMID:19300477		GO:0043507	positive regulation of JUN kinase activity	IDA			20100312		NCBITaxon:10090
MGI	MGI:MGI:98958	Wnt5a	PMID:19300477		GO:0043507	positive regulation of JUN kinase activity	IMP	MGI:MGI:1857617		20100312	GO:0004705	NCBITaxon:10090
BHF-UCL	MGI:MGI:98957	Wnt4	MGI:MGI:5487484|PMID:23027131		GO:0043547	positive regulation of GTPase activity	IGI	UniProtKB:P01112		20121130		NCBITaxon:10090
ParkinsonsUK-UCL	MGI:MGI:98956	Wnt3a	MGI:MGI:3707948|PMID:17244647		GO:0045860	positive regulation of protein kinase activity	IDA			20151203	UniProtKB:Q9JMK2|CL:0000700	NCBITaxon:10090
BHF-UCL	MGI:MGI:98956	Wnt3a	MGI:MGI:4835138|PMID:18929644		GO:0051091	positive regulation of DNA-binding transcription factor activity	IDA			20110606		NCBITaxon:10090
MGI	MGI:MGI:98956	Wnt3a	PMID:17251350		GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	IDA			20100820	GO:0097153	NCBITaxon:10090
MGI	MGI:MGI:98956	Wnt3a	PMID:19920076		GO:0061098	positive regulation of protein tyrosine kinase activity	IGI	MGI:MGI:106613		20100827		NCBITaxon:10090
BHF-UCL	MGI:MGI:98953	Wnt1	MGI:MGI:3621833|PMID:15035989		GO:0051091	positive regulation of DNA-binding transcription factor activity	IDA			20110606		NCBITaxon:10090
MGI	MGI:MGI:98935	Vldlr	PMID:12526740		GO:0045860	positive regulation of protein kinase activity	IGI	MGI:MGI:1340044		20060807	GO:0004672	NCBITaxon:10090
MGI	MGI:MGI:98935	Vldlr	PMID:12526740		GO:0045860	positive regulation of protein kinase activity	IGI	MGI:MGI:103022		20060807	GO:0004672	NCBITaxon:10090
MGI	MGI:MGI:98923	Vav1	PMID:21178006		GO:0043547	positive regulation of GTPase activity	IGI	MGI:MGI:3040696		20140131	GO:0003924|MGI:MGI:97846	NCBITaxon:10090
MGI	MGI:MGI:98923	Vav1	PMID:21178006		GO:0043547	positive regulation of GTPase activity	IGI	MGI:MGI:3040696		20140131	GO:0003924|MGI:MGI:97845	NCBITaxon:10090
MGI	MGI:MGI:98923	Vav1	PMID:15249579		GO:0043087	regulation of GTPase activity	IGI	MGI:MGI:1888518		20050526		NCBITaxon:10090
UniProt	MGI:MGI:1298223	Naip1	MGI:MGI:5009404|PMID:16735463		GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	IMP			20110412		NCBITaxon:10090
BHF-UCL	MGI:MGI:1298218	Lrp6	MGI:MGI:3621833|PMID:15035989		GO:0051091	positive regulation of DNA-binding transcription factor activity	IMP			20110606		NCBITaxon:10090
ARUK-UCL	MGI:MGI:1298217	Cst7	MGI:MGI:6294189|PMID:18256700		GO:0010466	negative regulation of peptidase activity	IDA			20190228	UniProtKB:P97821	NCBITaxon:10090
MGI	MGI:MGI:1298217	Cst7	PMID:28251676		GO:0097340	inhibition of cysteine-type endopeptidase activity	IMP	MGI:MGI:5910746		20190207	CL:0000129	NCBITaxon:10090
MGI	MGI:MGI:1298204	Ppt1	PMID:17341491		GO:0032429	regulation of phospholipase A2 activity	IMP	MGI:MGI:2176390		20070615	GO:0004623	NCBITaxon:10090
MGI	MGI:MGI:106362	Sco1	PMID:28973536		GO:1904959	regulation of cytochrome-c oxidase activity	IMP	MGI:MGI:2182095|MGI:MGI:5758867		20210506	EMAPA:16105	NCBITaxon:10090
MGI	MGI:MGI:106362	Sco1	PMID:28973536		GO:1904959	regulation of cytochrome-c oxidase activity	IMP	MGI:MGI:2386742|MGI:MGI:5758867		20210319	EMAPA:16105	NCBITaxon:10090
MGI	MGI:MGI:88613	Ccn1	PMID:19364818		GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	IGI	UniProtKB:P48023		20101222		NCBITaxon:10090
MGI	MGI:MGI:88613	Ccn1	PMID:19364818		GO:0010518	positive regulation of phospholipase activity	IDA			20101222		NCBITaxon:10090
UniProt	MGI:MGI:106321	Dock9	MGI:MGI:5825418|PMID:25851601		GO:0043547	positive regulation of GTPase activity	IDA			20170125		NCBITaxon:10090
UniProt	MGI:MGI:3577015	Otulin	MGI:MGI:5804663|PMID:27523608		GO:0032088	negative regulation of NF-kappaB transcription factor activity	IMP			20160922		NCBITaxon:10090
MGI	MGI:MGI:2142824	Nek5	PMID:23727203		GO:2001056	positive regulation of cysteine-type endopeptidase activity	IMP			20140102	MGI:MGI:107739	NCBITaxon:10090
UniProt	MGI:MGI:88590	Cyp1b1	MGI:MGI:5492227|PMID:23568032		GO:0032088	negative regulation of NF-kappaB transcription factor activity	IMP			20140422		NCBITaxon:10090
MGI	MGI:MGI:88578	Cycs	PMID:15907471		GO:0008635	activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c	IMP	MGI:MGI:3581449		20210319	CL:0000057	NCBITaxon:10090
MGI	MGI:MGI:88578	Cycs	PMID:14623868		GO:0008635	activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c	IMP			20041203		NCBITaxon:10090
MGI	MGI:MGI:88578	Cycs	PMID:10830166		GO:0043393	regulation of protein binding	IMP	MGI:MGI:2154447		20190712	MGI:MGI:1306796	NCBITaxon:10090
MGI	MGI:MGI:88578	Cycs	PMID:10830166		GO:0008635	activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c	IMP	MGI:MGI:2154447		20020725		NCBITaxon:10090
MGI	MGI:MGI:1914311	Dzip1	PMID:27979967		GO:0043393	regulation of protein binding	IMP			20180322		NCBITaxon:10090
BHF-UCL	MGI:MGI:98872	Twist1	MGI:MGI:3843109|PMID:19345188		GO:0043433	negative regulation of DNA-binding transcription factor activity	IDA			20110622		NCBITaxon:10090
BHF-UCL	MGI:MGI:98872	Twist1	MGI:MGI:3843109|PMID:19345188		GO:2000276	negative regulation of oxidative phosphorylation uncoupler activity	IDA			20110622		NCBITaxon:10090
MGI	MGI:MGI:98872	Twist1	PMID:15030764		GO:0044092	negative regulation of molecular function	IDA			20101229		NCBITaxon:10090
BHF-UCL	MGI:MGI:1889273	Fxyd1	MGI:MGI:3575337|PMID:15563542		GO:2000649	regulation of sodium ion transmembrane transporter activity	IMP			20140808	EMAPA:16105	NCBITaxon:10090
BHF-UCL	MGI:MGI:1889273	Fxyd1	MGI:MGI:5582172|PMID:17095720		GO:2000649	regulation of sodium ion transmembrane transporter activity	IMP			20140808	CL:0002131	NCBITaxon:10090
UniProt	MGI:MGI:106679	Zic2	MGI:MGI:4833763|PMID:20676059		GO:0051091	positive regulation of DNA-binding transcription factor activity	IDA			20110202		NCBITaxon:10090
MGI	MGI:MGI:106676	Zic3	PMID:22234993		GO:0051090	regulation of DNA-binding transcription factor activity	IMP	MGI:MGI:2180720		20220222	MGI:MGI:95729	NCBITaxon:10090
UniProt	MGI:MGI:106675	Adipoq	MGI:MGI:4943654|PMID:19460854		GO:0043407	negative regulation of MAP kinase activity	IDA			20110301		NCBITaxon:10090
UniProt	MGI:MGI:106675	Adipoq	MGI:MGI:3795840|PMID:18431508		GO:2000481	positive regulation of cAMP-dependent protein kinase activity	IMP			20110403		NCBITaxon:10090
UniProt	MGI:MGI:1914296	Tbc1d7	MGI:MGI:5437552|PMID:22795129		GO:0090630	activation of GTPase activity	IMP			20120727		NCBITaxon:10090
UniProt	MGI:MGI:1914293	Syap1	MGI:MGI:6114863|PMID:23300339		GO:0071902	positive regulation of protein serine/threonine kinase activity	IMP			20180104		NCBITaxon:10090
MGI	MGI:MGI:1333783	Ccs	PMID:12968068		GO:0051353	positive regulation of oxidoreductase activity	IMP	MGI:MGI:2446505		20060324		NCBITaxon:10090
MGI	MGI:MGI:1914243	Smarcd3	PMID:15525990		GO:0043393	regulation of protein binding	IDA			20070306		NCBITaxon:10090
UniProt	MGI:MGI:1914218	Plin5	MGI:MGI:5440401|PMID:22532565		GO:0060192	negative regulation of lipase activity	IMP			20140407		NCBITaxon:10090
MGI	MGI:MGI:3028579	Rasgrp3	PMID:15545601		GO:0043087	regulation of GTPase activity	IDA			20050520		NCBITaxon:10090
BHF-UCL	MGI:MGI:106613	Dvl2	MGI:MGI:4835155|PMID:10829020		GO:0043507	positive regulation of JUN kinase activity	IDA			20100909		NCBITaxon:10090
ParkinsonsUK-UCL	MGI:MGI:106613	Dvl2	MGI:MGI:5466648|PMID:23109420		GO:0043547	positive regulation of GTPase activity	IDA			20151208	UniProtKB:P63001	NCBITaxon:10090
MGI	MGI:MGI:106613	Dvl2	PMID:19920076		GO:0061098	positive regulation of protein tyrosine kinase activity	IGI	MGI:MGI:98956		20100827		NCBITaxon:10090
MGI	MGI:MGI:106624	Myo9b	PMID:20566876		GO:0043547	positive regulation of GTPase activity	IMP	MGI:MGI:4867915		20120807		NCBITaxon:10090
MGI	MGI:MGI:106624	Myo9b	PMID:17314409		GO:0043547	positive regulation of GTPase activity	IDA			20120710		NCBITaxon:10090
MGI	MGI:MGI:1914688	Rfk	PMID:19641494		GO:0033864	positive regulation of NAD(P)H oxidase activity	IGI	MGI:MGI:104798		20131209		NCBITaxon:10090
MGI	MGI:MGI:1352454	Nr4a1	PMID:12815108		GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	IDA			20031231		NCBITaxon:10090
UniProt	MGI:MGI:2384933	Wrap53	MGI:MGI:6189679|PMID:29804836		GO:0051973	positive regulation of telomerase activity	IDA			20180710		NCBITaxon:10090
MGI	MGI:MGI:2384931	Dhrs7b	PMID:28930673		GO:0032091	negative regulation of protein binding	IDA			20200903		NCBITaxon:10090
MGI	MGI:MGI:1924846	Adgrf1	PMID:27759003		GO:0032793	positive regulation of CREB transcription factor activity	IDA			20170927		NCBITaxon:10090
UniProt	MGI:MGI:1278343	Nipsnap2	MGI:MGI:5897549|PMID:22627147		GO:1901843	positive regulation of high voltage-gated calcium channel activity	IMP			20170410		NCBITaxon:10090
UniProt	MGI:MGI:1278339	Dgkz	MGI:MGI:6201900|PMID:27739494		GO:0090216	positive regulation of 1-phosphatidylinositol-4-phosphate 5-kinase activity	IMP			20180804		NCBITaxon:10090
MGI	MGI:MGI:1278325	Bcl2a1d	PMID:15728238		GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	IDA			20090316		NCBITaxon:10090
BHF-UCL	MGI:MGI:1278315	Lrp5	MGI:MGI:3621833|PMID:15035989		GO:0051091	positive regulation of DNA-binding transcription factor activity	IDA			20110606		NCBITaxon:10090
UniProt	MGI:MGI:1889575	Adar	MGI:MGI:5447606|PMID:18362360		GO:0044387	negative regulation of protein kinase activity by regulation of protein phosphorylation	IMP			20121015		NCBITaxon:10090
MGI	MGI:MGI:1889507	Pidd1	PMID:16183742		GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	IGI	MGI:MGI:1336168		20130617		NCBITaxon:10090
MGI	MGI:MGI:1914515	Slc39a10	PMID:25074919		GO:1903615	positive regulation of protein tyrosine phosphatase activity	IMP	MGI:MGI:5642299		20150707	MGI:MGI:97810	NCBITaxon:10090
UniProt	MGI:MGI:2384851	Slc39a14	MGI:MGI:4950776|PMID:21445361		GO:0051344	negative regulation of cyclic-nucleotide phosphodiesterase activity	IMP			20191212		NCBITaxon:10090
MGI	MGI:MGI:1914495	Peli1	PMID:21874024		GO:0032088	negative regulation of NF-kappaB transcription factor activity	IMP	MGI:MGI:4361448		20210323	CL:0000084	NCBITaxon:10090
MGI	MGI:MGI:1914488	Fam220a	PMID:26026268		GO:0032092	positive regulation of protein binding	IMP			20160622	GO:0005515	NCBITaxon:10090
MGI	MGI:MGI:2384760	Ttc36	PMID:31537781		GO:0032091	negative regulation of protein binding	IMP	MGI:MGI:5588394		20200925	CL:0000182	NCBITaxon:10090
MGI	MGI:MGI:2384760	Ttc36	PMID:31537781		GO:0032091	negative regulation of protein binding	IDA			20200925	CL:0000182	NCBITaxon:10090
CACAO	UniProtKB:P25774	CTSS	PMID:22864553		GO:2001259	positive regulation of cation channel activity	IDA			20121002		NCBITaxon:9606
UniProt	UniProtKB:O95256	IL18RAP	PMID:25500532		GO:0051092	positive regulation of NF-kappaB transcription factor activity	IDA			20180514		NCBITaxon:9606
UniProt	UniProtKB:P25713	MT3	PMID:18295594		GO:0032148	activation of protein kinase B activity	IDA			20120112	CL:0000115|UBERON:0000956	NCBITaxon:9606
UniProt	UniProtKB:P25713	MT3	PMID:16387743		GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	IDA			20120112		NCBITaxon:9606
UniProt	UniProtKB:P25713	MT3	PMID:21320589		GO:0051354	negative regulation of oxidoreductase activity	IDA			20120111	UniProtKB:P37840	NCBITaxon:9606
UniProt	UniProtKB:P25713	MT3	PMID:18554677		GO:2000117	negative regulation of cysteine-type endopeptidase activity	IDA			20120112	CL:0000540	NCBITaxon:9606
UniProt	UniProtKB:Q6P4H8	ATPSCKMT	PMID:30530489		GO:1905273	positive regulation of proton-transporting ATP synthase activity, rotational mechanism	IMP			20190212		NCBITaxon:9606
BHF-UCL	UniProtKB:P05231	IL6	PMID:12419823	not	GO:0051092	positive regulation of NF-kappaB transcription factor activity	IDA			20081103		NCBITaxon:9606
ARUK-UCL	UniProtKB:P05231	IL6	PMID:30670152		GO:0051091	positive regulation of DNA-binding transcription factor activity	IDA			20200129	UniProtKB:P40763|CL:0002618	NCBITaxon:9606
BHF-UCL	UniProtKB:P05231	IL6	PMID:7749983		GO:0051091	positive regulation of DNA-binding transcription factor activity	IDA			20090430		NCBITaxon:9606
UniProt	UniProtKB:Q6P4F7	ARHGAP11A	PMID:27957544		GO:0043547	positive regulation of GTPase activity	IDA			20201222		NCBITaxon:9606
BHF-UCL	UniProtKB:P29474	NOS3	PMID:17502619		GO:0031284	positive regulation of guanylate cyclase activity	IMP			20080725		NCBITaxon:9606
UniProt	UniProtKB:Q14432	PDE3A	PMID:34272366		GO:0060700	regulation of ribonuclease activity	IDA			20220204		NCBITaxon:9606
UniProt	UniProtKB:Q14432	PDE3A	PMID:35104454		GO:0060700	regulation of ribonuclease activity	IMP			20220303		NCBITaxon:9606
UniProt	UniProtKB:Q96JB5	CDK5RAP3	PMID:21283629		GO:0010921	regulation of phosphatase activity	IMP			20150824		NCBITaxon:9606
UniProt	UniProtKB:Q96JB5	CDK5RAP3	PMID:17785205		GO:0032088	negative regulation of NF-kappaB transcription factor activity	IMP			20150226		NCBITaxon:9606
UniProt	UniProtKB:Q96JB5	CDK5RAP3	PMID:20228063		GO:0032088	negative regulation of NF-kappaB transcription factor activity	IMP			20141211		NCBITaxon:9606
UniProt	UniProtKB:Q96JB5	CDK5RAP3	PMID:21283629		GO:0043407	negative regulation of MAP kinase activity	IMP			20150820		NCBITaxon:9606
UniProt	UniProtKB:Q96JB5	CDK5RAP3	PMID:21283629		GO:0044387	negative regulation of protein kinase activity by regulation of protein phosphorylation	IMP			20150820		NCBITaxon:9606
UniProt	UniProtKB:Q96JB5	CDK5RAP3	PMID:19223857		GO:0071901	negative regulation of protein serine/threonine kinase activity	IMP			20150227		NCBITaxon:9606
UniProt	UniProtKB:P20160	AZU1	PMID:24008408		GO:0045860	positive regulation of protein kinase activity	IDA			20150716	UniProtKB:Q05655|CL:0000575	NCBITaxon:9606
UniProt	UniProtKB:P15498	VAV1	PMID:22467863		GO:0043087	regulation of GTPase activity	IGI	UniProtKB:P35241|UniProtKB:P52735|UniProtKB:Q9UKW4		20150626	UniProtKB:P63000	NCBITaxon:9606
UniProt	UniProtKB:P40616	ARL1	PMID:9624189		GO:0031584	activation of phospholipase D activity	IDA			20111117		NCBITaxon:9606
ARUK-UCL	UniProtKB:P20138	CD33	PMID:10556798		GO:1903615	positive regulation of protein tyrosine phosphatase activity	IMP			20190403	UniProtKB:P29351	NCBITaxon:9606
BHF-UCL	UniProtKB:Q9ULV1	FZD4	PMID:14688793		GO:0051091	positive regulation of DNA-binding transcription factor activity	IDA			20100803		NCBITaxon:9606
UniProt	UniProtKB:Q9ULV4	CORO1C	PMID:19913511		GO:0044387	negative regulation of protein kinase activity by regulation of protein phosphorylation	IMP			20150312	CL:0002563|UniProtKB:Q05397	NCBITaxon:9606
BHF-UCL	UniProtKB:Q9ULV8	CBLC	PMID:10362357		GO:0007175	negative regulation of epidermal growth factor-activated receptor activity	IDA			20090408		NCBITaxon:9606
BHF-UCL	UniProtKB:Q9ULV8	CBLC	PMID:10362357		GO:0043407	negative regulation of MAP kinase activity	IDA			20090408		NCBITaxon:9606
BHF-UCL	UniProtKB:Q9ULW2	FZD10	PMID:19137009		GO:0034260	negative regulation of GTPase activity	IMP			20100806		NCBITaxon:9606
BHF-UCL	UniProtKB:Q9ULW2	FZD10	PMID:19137009		GO:0043507	positive regulation of JUN kinase activity	IMP			20100806		NCBITaxon:9606
BHF-UCL	UniProtKB:Q9ULW2	FZD10	PMID:19137009		GO:0043547	positive regulation of GTPase activity	IMP			20100806		NCBITaxon:9606
UniProt	UniProtKB:Q6P3W2	DNAJC24	PMID:22367199		GO:0032781	positive regulation of ATP-dependent activity	IDA			20130625		NCBITaxon:9606
UniProt	UniProtKB:Q9ULZ3	PYCARD	PMID:16585594		GO:0032088	negative regulation of NF-kappaB transcription factor activity	IMP			20120910		NCBITaxon:9606
HGNC-UCL	UniProtKB:Q9ULZ3	PYCARD	PMID:15030775		GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	IDA			20060525		NCBITaxon:9606
ARUK-UCL	UniProtKB:Q9ULZ3	PYCARD	PMID:22267217		GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	IMP			20190502	CL:0000451|UniProtKB:Q14790	NCBITaxon:9606
UniProt	UniProtKB:Q9ULZ3	PYCARD	PMID:19494289		GO:0051091	positive regulation of DNA-binding transcription factor activity	IDA			20121017		NCBITaxon:9606
UniProt	UniProtKB:Q9ULZ3	PYCARD	PMID:12646168		GO:0051092	positive regulation of NF-kappaB transcription factor activity	IDA			20120910		NCBITaxon:9606
HGNC-UCL	UniProtKB:Q9ULZ3	PYCARD	PMID:12656673		GO:0051092	positive regulation of NF-kappaB transcription factor activity	IDA			20071022		NCBITaxon:9606
UniProt	UniProtKB:Q9ULZ3	PYCARD	PMID:15817483		GO:0051092	positive regulation of NF-kappaB transcription factor activity	IPI	UniProtKB:Q96P20		20171006		NCBITaxon:9606
UniProt	UniProtKB:Q9ULZ3	PYCARD	PMID:12486103		GO:0071901	negative regulation of protein serine/threonine kinase activity	IDA			20120911		NCBITaxon:9606
UniProt	UniProtKB:Q9ULZ3	PYCARD	PMID:19158676		GO:2001056	positive regulation of cysteine-type endopeptidase activity	IDA			20120817		NCBITaxon:9606
BHF-UCL	UniProtKB:P62258	YWHAE	PMID:11953308		GO:1901016	regulation of potassium ion transmembrane transporter activity	IDA			20130719	UniProtKB:Q12809	NCBITaxon:9606
SynGO-UCL	UniProtKB:P62258	YWHAE	PMID:18029012		GO:1901020	negative regulation of calcium ion transmembrane transporter activity	IDA			20200226	UniProtKB:P20020|UniProtKB:Q16720	NCBITaxon:9606
UniProt	UniProtKB:P25686	DNAJB2	PMID:7957263		GO:0032091	negative regulation of protein binding	IDA			20161021		NCBITaxon:9606
UniProt	UniProtKB:P25686	DNAJB2	PMID:22219199		GO:0032781	positive regulation of ATP-dependent activity	IDA			20161020		NCBITaxon:9606
UniProt	UniProtKB:P25686	DNAJB2	PMID:7957263		GO:0032781	positive regulation of ATP-dependent activity	IDA			20161021		NCBITaxon:9606
BHF-UCL	UniProtKB:P25685	DNAJB1	PMID:23921388		GO:0032781	positive regulation of ATP-dependent activity	IDA			20150616	UniProtKB:P11142|UniProtKB:P0DMV9|UniProtKB:P0DMV8	NCBITaxon:9606
MGI	UniProtKB:O60603	TLR2	PMID:12594207		GO:0051092	positive regulation of NF-kappaB transcription factor activity	IDA			20090913		NCBITaxon:9606
UniProt	UniProtKB:O60603	TLR2	PMID:21618349		GO:0051092	positive regulation of NF-kappaB transcription factor activity	IDA			20141105		NCBITaxon:9606
MGI	UniProtKB:O95150	TNFSF15	PMID:11911831		GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	IDA			20030418		NCBITaxon:9606
MGI	UniProtKB:O95150	TNFSF15	PMID:11911831		GO:0007250	activation of NF-kappaB-inducing kinase activity	IDA			20030418		NCBITaxon:9606
BHF-UCL	MGI:MGI:88276	Ctnnb1	MGI:MGI:5428344|PMID:22723415		GO:1904796	regulation of core promoter binding	IDA			20210113	UniProtKB:P08775	NCBITaxon:10090
BHF-UCL	MGI:MGI:88276	Ctnnb1	MGI:MGI:5428344|PMID:22723415		GO:1904798	positive regulation of core promoter binding	IDA			20211120	CL:0002250|GO:0005634|UniProtKB:P08775|GO:0005634|CL:0000047|UniProtKB:P08775|CL:0002322|GO:0005634|UniProtKB:P08775	NCBITaxon:10090
MGI	MGI:MGI:88276	Ctnnb1	PMID:15314168		GO:0044093	positive regulation of molecular function	IDA			20180607	GO:0003674|GO:0006366	NCBITaxon:10090
MGI	MGI:MGI:88271	Cat	PMID:9600348		GO:0032088	negative regulation of NF-kappaB transcription factor activity	IDA			20080523		NCBITaxon:10090
MGI	MGI:MGI:88271	Cat	PMID:15020231		GO:0051092	positive regulation of NF-kappaB transcription factor activity	IDA			20080523		NCBITaxon:10090
UniProt	MGI:MGI:88256	Camk2a	MGI:MGI:5494205|PMID:23502535		GO:0051346	negative regulation of hydrolase activity	IMP			20200414		NCBITaxon:10090
MGI	MGI:MGI:88251	Calm1	PMID:10049721		GO:0043388	positive regulation of DNA binding	IDA			20070920		NCBITaxon:10090
BHF-UCL	MGI:MGI:88246	Anxa2	MGI:MGI:5446858|PMID:22848640		GO:1905597	positive regulation of low-density lipoprotein particle receptor binding	IMP			20161031	EMAPA:16846|GO:0001921|GO:0032804|GO:1905599|GO:1905597|GO:1905602	NCBITaxon:10090
BHF-UCL	MGI:MGI:88246	Anxa2	MGI:MGI:5446858|PMID:22848640		GO:1905599	positive regulation of low-density lipoprotein receptor activity	IMP			20161031	EMAPA:18426|GO:0001921|GO:0032804|GO:0034362|GO:1905599|GO:1905597|GO:1905602|EMAPA:18939|GO:0001921|GO:0032804|GO:0034362|GO:1905599|GO:1905597|GO:1905602	NCBITaxon:10090
MGI	MGI:MGI:88246	Anxa2	PMID:17690254		GO:0051099	positive regulation of binding	IMP			20101116		NCBITaxon:10090
BHF-UCL	MGI:MGI:1353598	Mapk8ip3	MGI:MGI:1890011|PMID:10523642		GO:0043507	positive regulation of JUN kinase activity	IDA			20110504		NCBITaxon:10090
MGI	MGI:MGI:1353598	Mapk8ip3	PMID:15767678		GO:0043507	positive regulation of JUN kinase activity	IDA			20210514		NCBITaxon:10090
ARUK-UCL	MGI:MGI:88232	C5ar1	MGI:MGI:4354701|PMID:19561098		GO:1902947	regulation of tau-protein kinase activity	IGI	UniProtKB:P05067		20190104	EMAPA:35405	NCBITaxon:10090
MGI	MGI:MGI:5446771	Uchl1os	PMID:23064229		GO:1905698	positive regulation of polysome binding	IMP			20190807		NCBITaxon:10090
BHF-UCL	MGI:MGI:98472	T	MGI:MGI:5448510|PMID:22164283		GO:0043433	negative regulation of DNA-binding transcription factor activity	IDA			20200226	UniProtKB:Q9WUI0	NCBITaxon:10090
